state,city,population_2024
Illinois,Maroa City,1533.0
Illinois,Marquette Heights City,2485.0
Illinois,Marseilles City,4779.0
Illinois,Marshall City,3865.0
Illinois,Martinsville City,1083.0
Illinois,Martinton Village,321.0
Illinois,Maryville Village,8352.0
Illinois,Mascoutah City,9118.0
Illinois,Mason Town,321.0
Illinois,Mason City City,1982.0
Illinois,Matherville Village,690.0
Illinois,Matteson Village,18566.0
Illinois,Mattoon City,16602.0
Illinois,Maunie Village,93.0
Illinois,Maywood Village,23364.0
Illinois,Mazon Village,982.0
Illinois,Mechanicsburg Village,662.0
Illinois,Media Village,111.0
Illinois,Medora Village,364.0
Illinois,Melrose Park Village,23999.0
Illinois,Melvin Village,418.0
Illinois,Mendon Village,844.0
Illinois,Mendota City,6922.0
Illinois,Menominee Village,206.0
Illinois,Meredosia Village,794.0
Illinois,Merrionette Park Village,1912.0
Illinois,Metamora Village,3870.0
Illinois,Metcalf Village,134.0
Illinois,Metropolis City,5776.0
Illinois,Mettawa Village,562.0
Illinois,Middletown Village,323.0
Illinois,Midlothian Village,13870.0
Illinois,Milan Village,5033.0
Illinois,Milford Village,1111.0
Illinois,Millbrook Village,282.0
Illinois,Mill Creek Village,56.0
Illinois,Milledgeville Village,992.0
Illinois,Millington Village,624.0
Illinois,Mill Shoals Village,172.0
Illinois,Millstadt Village,3957.0
Illinois,Milton Village,206.0
Illinois,Mineral Village,201.0
Illinois,Minier Village,1137.0
Illinois,Minonk City,1898.0
Illinois,Minooka Village,12907.0
Illinois,Modesto Village,176.0
Illinois,Mokena Village,19915.0
Illinois,Moline City,42442.0
Illinois,Momence City,3169.0
Illinois,Monee Village,5139.0
Illinois,Monmouth City,8639.0
Illinois,Monroe Center Village,406.0
Illinois,Montgomery Village,21957.0
Illinois,Monticello City,6010.0
Illinois,Montrose Village,216.0
Illinois,Morris City,14587.0
Illinois,Morrison City,3988.0
Illinois,Morrisonville Village,975.0
Illinois,Morton Village,17557.0
Illinois,Morton Grove Village,24467.0
Illinois,Mound City City,481.0
Illinois,Mounds City,608.0
Illinois,Mound Station Village,119.0
